coding,epoch,train_acc,train_loss,val_acc,val_loss,T,lr,tau,tau_out,hidden_dim,batch_size,seed,run_id,rate_scale,ttfs_alpha,phase_period,burst_win
burst,1,0.3597938144329897,1.7086818287053058,0.4392523364485981,1.3047840717796968,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,,4
burst,2,0.5247422680412371,1.1818977711126977,0.5233644859813084,1.1292862056571746,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,,4
burst,3,0.5494845360824743,1.0668850523909343,0.5700934579439252,1.2751489554610207,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,,4
burst,4,0.554639175257732,1.0245526662806874,0.45794392523364486,1.1425579050991024,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,,4
burst,5,0.5690721649484536,1.0181849802892233,0.5514018691588785,1.0554137385894204,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,,4
burst,6,0.6,0.9692332659800028,0.514018691588785,1.0370045387856315,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,,4
burst,7,0.5597938144329897,0.982670845198877,0.5233644859813084,1.091851996484204,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,,4
burst,8,0.5979381443298969,0.9644981595658765,0.5514018691588785,0.9934137970487648,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,,4
burst,9,0.6010309278350515,0.9364348554119621,0.5794392523364486,1.0274633113468918,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,,4
burst,10,0.5876288659793815,0.9581037600015857,0.5514018691588785,0.9722038429474162,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,,4
burst,1,0.42061855670103093,1.5891244595812768,0.4766355140186916,1.3542593517036081,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,,4
burst,2,0.477319587628866,1.1963098292498244,0.4392523364485981,1.3601753544584614,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,,4
burst,3,0.5268041237113402,1.1094561274518673,0.5327102803738317,1.055385635834988,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,,4
burst,4,0.5329896907216495,1.0662382654308045,0.4766355140186916,1.0708096216772205,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,,4
burst,5,0.5505154639175258,1.0337374343085535,0.45794392523364486,1.1252175045904713,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,,4
burst,6,0.5515463917525774,1.0679872510359458,0.48598130841121495,1.1596509897820304,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,,4
burst,7,0.5793814432989691,0.9982591162022856,0.4672897196261682,1.0395290238834987,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,,4
burst,8,0.5484536082474227,1.0340757883701128,0.4953271028037383,1.1307628912346386,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,,4
burst,9,0.554639175257732,1.0520176762158109,0.5607476635514018,1.0516912591791598,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,,4
burst,10,0.5494845360824743,1.013510354278014,0.4953271028037383,1.0374876166058478,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,,4
burst,1,0.4381443298969072,1.9131438260225906,0.4392523364485981,1.967753827014816,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,,4
burst,2,0.4329896907216495,1.7800559061089742,0.4672897196261682,1.4730550930878827,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,,4
burst,3,0.5041237113402062,1.5835057553556777,0.514018691588785,1.3870490722567121,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,,4
burst,4,0.511340206185567,1.476918359392697,0.4205607476635514,1.5317292280286272,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,,4
burst,5,0.5371134020618556,1.4150486600767707,0.5794392523364486,1.2939035914768682,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,,4
burst,6,0.522680412371134,1.4254260987350622,0.616822429906542,1.3812581245030198,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,,4
burst,7,0.5463917525773195,1.382713168183553,0.5046728971962616,1.4197398134481127,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,,4
burst,8,0.5731958762886598,1.3620896528676614,0.514018691588785,1.2821663985742586,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,,4
burst,9,0.5577319587628866,1.3711233055468688,0.4953271028037383,1.3566740740125425,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,,4
burst,10,0.5381443298969072,1.3994721041512244,0.5794392523364486,1.2421748627012021,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,,4
