coding,epoch,train_acc,train_loss,val_acc,val_loss,T,lr,tau,tau_out,hidden_dim,batch_size,seed,run_id,rate_scale,ttfs_alpha,phase_period,burst_win
phase,1,0.3030927835051546,1.9970676124710398,0.3644859813084112,1.7822380778945495,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,8,
phase,2,0.3907216494845361,1.7301229381069694,0.34579439252336447,1.7707726353796842,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,8,
phase,3,0.4092783505154639,1.6579057307587457,0.4205607476635514,1.6391997671572962,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,8,
phase,4,0.4144329896907217,1.6612371125172094,0.3925233644859813,1.6209897772174016,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,8,
phase,5,0.43402061855670104,1.6081268642366546,0.35514018691588783,1.741443334338821,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,8,
phase,6,0.43711340206185567,1.6057260400241182,0.3925233644859813,1.7279759378076713,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,8,
phase,7,0.4422680412371134,1.5845416408224204,0.45794392523364486,1.6278331847948448,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,8,
phase,8,0.41855670103092785,1.6119001137841609,0.40186915887850466,1.6665991099081308,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,8,
phase,9,0.4587628865979381,1.5721901269303156,0.35514018691588783,1.71105180165478,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,8,
phase,10,0.4350515463917526,1.5701182198278683,0.3644859813084112,1.6248324897801765,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,,8,
phase,1,0.32268041237113404,1.9506104776539754,0.34579439252336447,1.7927475443510252,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,8,
phase,2,0.39690721649484534,1.6722712295571553,0.3364485981308411,1.8278059725449465,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,8,
phase,3,0.422680412371134,1.6408733441657626,0.35514018691588783,1.6832337279186071,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,8,
phase,4,0.40515463917525774,1.6391888456246289,0.3364485981308411,1.7157283820838571,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,8,
phase,5,0.41855670103092785,1.615180762281123,0.3925233644859813,1.6580657290521068,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,8,
phase,6,0.4402061855670103,1.6031947357138407,0.4392523364485981,1.6183165044428032,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,8,
phase,7,0.4422680412371134,1.5880441117532476,0.3925233644859813,1.716581376913552,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,8,
phase,8,0.4061855670103093,1.6113621175903634,0.3644859813084112,1.710295223744116,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,8,
phase,9,0.45257731958762887,1.5565256064700097,0.38317757009345793,1.6079452962518852,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,8,
phase,10,0.4268041237113402,1.6074976554850942,0.38317757009345793,1.7598897764615924,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,,8,
phase,1,0.3556701030927835,1.9986200079475482,0.2523364485981308,2.047121491387626,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,8,
phase,2,0.42061855670103093,1.8713152320114608,0.37383177570093457,1.7730590372442085,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,8,
phase,3,0.40824742268041236,1.8323645434428737,0.24299065420560748,1.9271772999629797,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,8,
phase,4,0.3752577319587629,1.7817388278921855,0.3177570093457944,1.8797176207337425,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,8,
phase,5,0.39484536082474225,1.7678029898515681,0.34579439252336447,1.7511563345650647,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,8,
phase,6,0.4175257731958763,1.7658147816805496,0.29906542056074764,1.7942193245219293,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,8,
phase,7,0.39690721649484534,1.679115710799227,0.3925233644859813,1.7718881324072864,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,8,
