coding,epoch,train_acc,train_loss,val_acc,val_loss,T,lr,tau,tau_out,hidden_dim,batch_size,seed,run_id,rate_scale,ttfs_alpha,phase_period,burst_win
rate,1,0.30412371134020616,2.3020402810008256,0.4205607476635514,1.344436740206781,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,1.0,,,
rate,2,0.5412371134020618,1.1927865320874245,0.4485981308411215,1.8654781112046999,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,1.0,,,
rate,3,0.5649484536082474,1.1059136395601883,0.5887850467289719,1.1561477624367331,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,1.0,,,
rate,4,0.6144329896907217,1.029167680396247,0.4953271028037383,1.2102436885655483,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,1.0,,,
rate,5,0.5948453608247423,0.9808317742396876,0.4953271028037383,0.8901326695335245,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,1.0,,,
rate,6,0.6288659793814433,0.9164503109823797,0.5233644859813084,1.185425806825406,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,1.0,,,
rate,7,0.6298969072164948,0.9326875352367913,0.5794392523364486,1.0276085074259855,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,1.0,,,
rate,8,0.6154639175257732,0.9452886669906144,0.5981308411214953,0.9247163071810642,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,1.0,,,
rate,9,0.6670103092783505,0.7936769711602595,0.5700934579439252,1.0402794781132279,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,1.0,,,
rate,10,0.6525773195876289,0.8177486178801232,0.6074766355140186,0.9122793966921691,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,1.0,,,
rate,1,0.4092783505154639,2.0923983025796633,0.40186915887850466,1.783299275647814,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,1.0,,,
rate,2,0.5020618556701031,1.3113289366063383,0.45794392523364486,1.7058804948753286,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,1.0,,,
rate,3,0.5474226804123712,1.169817500753501,0.4953271028037383,1.203242942551586,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,1.0,,,
rate,4,0.6206185567010309,0.9561476255200573,0.5046728971962616,1.2585949674945012,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,1.0,,,
rate,5,0.5793814432989691,1.0521539431257345,0.5981308411214953,0.9023998140174652,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,1.0,,,
rate,6,0.5958762886597938,1.0214933832896125,0.5514018691588785,0.8481945440033886,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,1.0,,,
rate,7,0.6113402061855671,0.9514516933677123,0.4672897196261682,1.1171050495076402,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,1.0,,,
rate,8,0.5804123711340207,1.071169285553018,0.4953271028037383,1.1248761465616315,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,1.0,,,
rate,9,0.5525773195876289,1.147437021167008,0.4672897196261682,1.2379195456192873,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,1.0,,,
rate,10,0.5938144329896907,1.0792972951820217,0.6261682242990654,0.7942319551360941,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,1.0,,,
rate,1,0.41237113402061853,2.8584995525399433,0.5420560747663551,1.7996482570594716,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,1.0,,,
rate,2,0.45463917525773195,2.141888365303118,0.4485981308411215,2.431490082607091,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,1.0,,,
rate,3,0.4979381443298969,1.9537933969006096,0.4953271028037383,1.4918307489323839,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,1.0,,,
rate,4,0.4690721649484536,1.6237419079259499,0.4392523364485981,1.4003683774270743,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,1.0,,,
