coding,epoch,train_acc,train_loss,val_acc,val_loss,T,lr,tau,tau_out,hidden_dim,batch_size,seed,run_id,rate_scale,ttfs_alpha,phase_period,burst_win
ttfs,1,0.38762886597938145,1.8067943811416627,0.45794392523364486,1.657202679420186,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,1.0,,
ttfs,2,0.5123711340206185,1.5941304290417544,0.4485981308411215,1.6120737969318284,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,1.0,,
ttfs,3,0.5247422680412371,1.5558274952406737,0.4953271028037383,1.59146095213489,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,1.0,,
ttfs,4,0.5484536082474227,1.5258109102544097,0.4766355140186916,1.5725216787552165,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,1.0,,
ttfs,5,0.5804123711340207,1.4915622932394754,0.5514018691588785,1.542756127419873,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,1.0,,
ttfs,6,0.5649484536082474,1.486052618813269,0.514018691588785,1.5448501678270714,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,1.0,,
ttfs,7,0.5773195876288659,1.4783929510214895,0.5233644859813084,1.5119071363288665,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,1.0,,
ttfs,8,0.588659793814433,1.4833200673467106,0.4766355140186916,1.537867729908952,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,1.0,,
ttfs,9,0.5896907216494846,1.467530587039043,0.5327102803738317,1.5082602846288236,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,1.0,,
ttfs,10,0.6103092783505155,1.4546934557944229,0.5420560747663551,1.4762672353013653,10,0.0005,2.0,2.0,256,16,42,T10_lr0.0005_tau2.0,,1.0,,
ttfs,1,0.40103092783505156,1.8462897866042618,0.48598130841121495,1.740741145945041,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,1.0,,
ttfs,2,0.4824742268041237,1.7016196049365802,0.4485981308411215,1.7451434302552837,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,1.0,,
ttfs,3,0.5154639175257731,1.655089146574748,0.45794392523364486,1.6491123749831011,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,1.0,,
ttfs,4,0.5092783505154639,1.5747957047727918,0.4766355140186916,1.551469358328347,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,1.0,,
ttfs,5,0.5432989690721649,1.5518621862549142,0.45794392523364486,1.6123916735158903,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,1.0,,
ttfs,6,0.5329896907216495,1.5300465539558648,0.514018691588785,1.5789296571339402,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,1.0,,
ttfs,7,0.5360824742268041,1.5253724211270048,0.4766355140186916,1.556387752016014,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,1.0,,
ttfs,8,0.5278350515463918,1.5325022132126327,0.48598130841121495,1.5738466053365547,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,1.0,,
ttfs,9,0.554639175257732,1.505912567905544,0.5327102803738317,1.5231386523380457,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,1.0,,
ttfs,10,0.5628865979381443,1.4886423541098526,0.5233644859813084,1.564567083510283,10,0.001,2.0,2.0,256,16,42,T10_lr0.001_tau2.0,,1.0,,
