coding,epoch,train_acc,train_loss,val_acc,val_loss,T,hidden_dim,tau,tau_out,lr,batch_size,seed,rate_scale,ttfs_alpha,ttfs_t_max,phase_period,burst_win,test_acc,test_loss,test_acc_pct,mean_latency_t,mean_spikes_per_sample,throughput_sps,minutes
ttfs,1,0.2474226804123711,2.2213304072311244,0.3738317757009345,1.8962092343891888,20,256,2.0,2.0,0.001,16,42,,0.5,20,,,0.4772727272727273,1.449351354078813,47.72727272727273,0.1022727272727272,53.24242424242424,28.592101271690485,3.749335475762685
ttfs,2,0.4298969072164949,1.7422521431421496,0.4579439252336448,1.6974781573375808,20,256,2.0,2.0,0.001,16,42,,0.5,20,,,0.4772727272727273,1.449351354078813,47.72727272727273,0.1022727272727272,53.24242424242424,28.592101271690485,3.749335475762685
ttfs,3,0.5092783505154639,1.5598086829038011,0.5514018691588785,1.4782873904593636,20,256,2.0,2.0,0.001,16,42,,0.5,20,,,0.4772727272727273,1.449351354078813,47.72727272727273,0.1022727272727272,53.24242424242424,28.592101271690485,3.749335475762685
ttfs,4,0.511340206185567,1.4593842855433827,0.4859813084112149,1.4406535424918772,20,256,2.0,2.0,0.001,16,42,,0.5,20,,,0.4772727272727273,1.449351354078813,47.72727272727273,0.1022727272727272,53.24242424242424,28.592101271690485,3.749335475762685
ttfs,5,0.5762886597938144,1.3324284189755156,0.5794392523364486,1.3755967193674818,20,256,2.0,2.0,0.001,16,42,,0.5,20,,,0.4772727272727273,1.449351354078813,47.72727272727273,0.1022727272727272,53.24242424242424,28.592101271690485,3.749335475762685
ttfs,6,0.5907216494845361,1.3296519643252658,0.5233644859813084,1.3782935588159293,20,256,2.0,2.0,0.001,16,42,,0.5,20,,,0.4772727272727273,1.449351354078813,47.72727272727273,0.1022727272727272,53.24242424242424,28.592101271690485,3.749335475762685
ttfs,7,0.5917525773195876,1.2910560632489392,0.5514018691588785,1.373678321036223,20,256,2.0,2.0,0.001,16,42,,0.5,20,,,0.4772727272727273,1.449351354078813,47.72727272727273,0.1022727272727272,53.24242424242424,28.592101271690485,3.749335475762685
ttfs,8,0.6,1.2605082745404588,0.5327102803738317,1.3527588554631884,20,256,2.0,2.0,0.001,16,42,,0.5,20,,,0.4772727272727273,1.449351354078813,47.72727272727273,0.1022727272727272,53.24242424242424,28.592101271690485,3.749335475762685
ttfs,9,0.6051546391752577,1.2366263927872647,0.6074766355140186,1.321643566416803,20,256,2.0,2.0,0.001,16,42,,0.5,20,,,0.4772727272727273,1.449351354078813,47.72727272727273,0.1022727272727272,53.24242424242424,28.592101271690485,3.749335475762685
ttfs,10,0.6206185567010309,1.231110324810461,0.5607476635514018,1.3275919194533443,20,256,2.0,2.0,0.001,16,42,,0.5,20,,,0.4772727272727273,1.449351354078813,47.72727272727273,0.1022727272727272,53.24242424242424,28.592101271690485,3.749335475762685
